"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2001"	"2001"	"New Jersey"	"34"	74694	8492671	879.5
	"2001"	"2001"	"New Mexico"	"35"	14118	1831690	770.8
	"2001"	"2001"	"New York"	"36"	159208	19082838	834.3
	"2001"	"2001"	"North Carolina"	"37"	70921	8210122	863.8
	"2001"	"2001"	"North Dakota"	"38"	6048	639062	946.4
	"2001"	"2001"	"Ohio"	"39"	108027	11387404	948.7
	"2001"	"2001"	"Oklahoma"	"40"	34681	3467100	1000.3
	"2001"	"2001"	"Oregon"	"41"	30158	3467937	869.6
	"2001"	"2001"	"Pennsylvania"	"42"	129711	12298970	1054.6
	"2001"	"2001"	"Rhode Island"	"44"	10016	1057142	947.5
	"2001"	"2001"	"South Carolina"	"45"	36609	4064995	900.6
	"2001"	"2001"	"South Dakota"	"46"	6923	757972	913.4
	"2001"	"2001"	"Tennessee"	"47"	55148	5750789	959.0
	"2001"	"2001"	"Texas"	"48"	152746	21319622	716.5
	"2001"	"2001"	"Utah"	"49"	12660	2283715	554.4
	"2001"	"2001"	"Vermont"	"50"	5201	612223	849.5
	"2001"	"2001"	"Virginia"	"51"	56276	7198362	781.8
	"2001"	"2001"	"Washington"	"53"	44642	5985722	745.8
	"2001"	"2001"	"West Virginia"	"54"	20967	1801481	1163.9
	"2001"	"2001"	"Wisconsin"	"55"	46627	5406835	862.4
	"2001"	"2001"	"Wyoming"	"56"	4029	494657	814.5
"Total"	"2001"	"2001"			2416003	284968955	847.8
	"2002"	"2002"	"Alabama"	"01"	46066	4480089	1028.2
	"2002"	"2002"	"Alaska"	"02"	3030	642337	471.7
	"2002"	"2002"	"Arizona"	"04"	42773	5396255	792.6
	"2002"	"2002"	"Arkansas"	"05"	28511	2705927	1053.7
	"2002"	"2002"	"California"	"06"	234496	34871843	672.5
	"2002"	"2002"	"Colorado"	"08"	29209	4490406	650.5
	"2002"	"2002"	"Connecticut"	"09"	30116	3458749	870.7
	"2002"	"2002"	"Delaware"	"10"	6861	806169	851.1
	"2002"	"2002"	"District of Columbia"	"11"	5835	573158	1018.0
	"2002"	"2002"	"Florida"	"12"	167771	16689370	1005.3
	"2002"	"2002"	"Georgia"	"13"	65446	8508256	769.2
	"2002"	"2002"	"Hawaii"	"15"	8800	1239613	709.9
	"2002"	"2002"	"Idaho"	"16"	9922	1340372	740.2
	"2002"	"2002"	"Illinois"	"17"	106658	12525556	851.5
	"2002"	"2002"	"Indiana"	"18"	55395	6155967	899.9
	"2002"	"2002"	"Iowa"	"19"	27978	2934234	953.5
	"2002"	"2002"	"Kansas"	"20"	25021	2713535	922.1
	"2002"	"2002"	"Kentucky"	"21"	40695	4089875	995.0
	"2002"	"2002"	"Louisiana"	"22"	41984	4497267	933.5
	"2002"	"2002"	"Maine"	"23"	12694	1295960	979.5
	"2002"	"2002"	"Maryland"	"24"	43965	5440389	808.1
	"2002"	"2002"	"Massachusetts"	"25"	56927	6417206	887.1
	"2002"	"2002"	"Michigan"	"26"	87789	10015710	876.5
	"2002"	"2002"	"Minnesota"	"27"	38510	5018935	767.3
	"2002"	"2002"	"Mississippi"	"28"	28848	2858681	1009.1
	"2002"	"2002"	"Missouri"	"29"	55937	5674825	985.7
	"2002"	"2002"	"Montana"	"30"	8506	911667	933.0
	"2002"	"2002"	"Nebraska"	"31"	15738	1728292	910.6
	"2002"	"2002"	"Nevada"	"32"	16918	2173791	778.3
	"2002"	"2002"	"New Hampshire"	"33"	9853	1269089	776.4
	"2002"	"2002"	"New Jersey"	"34"	73987	8552643	865.1
	"2002"	"2002"	"New Mexico"	"35"	14337	1855309	772.8
	"2002"	"2002"	"New York"	"36"	158096	19137800	826.1
	"2002"	"2002"	"North Carolina"	"37"	72023	8326201	865.0
	"2002"	"2002"	"North Dakota"	"38"	5892	638168	923.3
	"2002"	"2002"	"Ohio"	"39"	109765	11407889	962.2
	"2002"	"2002"	"Oklahoma"	"40"	35501	3489080	1017.5
	"2002"	"2002"	"Oregon"	"41"	31118	3513424	885.7
	"2002"	"2002"	"Pennsylvania"	"42"	130214	12331031	1056.0
	"2002"	"2002"	"Rhode Island"	"44"	10244	1065995	961.0
	"2002"	"2002"	"South Carolina"	"45"	37732	4107795	918.5
	"2002"	"2002"	"South Dakota"	"46"	6898	760020	907.6
	"2002"	"2002"	"Tennessee"	"47"	56600	5795918	976.5
	"2002"	"2002"	"Texas"	"48"	155484	21690325	716.8
	"2002"	"2002"	"Utah"	"49"	13116	2324815	564.2
	"2002"	"2002"	"Vermont"	"50"	5075	615442	824.6
	"2002"	"2002"	"Virginia"	"51"	57190	7286873	784.8
	"2002"	"2002"	"Washington"	"53"	45335	6052349	749.0
	"2002"	"2002"	"West Virginia"	"54"	21016	1805414	1164.1
	"2002"	"2002"	"Wisconsin"	"55"	46981	5445162	862.8
	"2002"	"2002"	"Wyoming"	"56"	4174	500017	834.8
"Total"	"2002"	"2002"			2443030	287625193	849.4
	"2003"	"2003"	"Alabama"	"01"	46715	4503491	1037.3
	"2003"	"2003"	"Alaska"	"02"	3179	648414	490.3
	"2003"	"2003"	"Arizona"	"04"	43336	5510364	786.4
	"2003"	"2003"	"Arkansas"	"05"	27918	2724816	1024.6
	"2003"	"2003"	"California"	"06"	239289	35253159	678.8
	"2003"	"2003"	"Colorado"	"08"	29505	4528732	651.5
	"2003"	"2003"	"Connecticut"	"09"	29624	3484336	850.2
	"2003"	"2003"	"Delaware"	"10"	7070	818003	864.3
	"2003"	"2003"	"District of Columbia"	"11"	5567	568502	979.2
