"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2000"	"2000"	"New York"	"36"	5161	18976457	27.2
	"2000"	"2000"	"North Carolina"	"37"	2947	8049313	36.6
	"2000"	"2000"	"North Dakota"	"38"	265	642200	41.3
	"2000"	"2000"	"Ohio"	"39"	5152	11353140	45.4
	"2000"	"2000"	"Oklahoma"	"40"	1338	3450654	38.8
	"2000"	"2000"	"Oregon"	"41"	1121	3421399	32.8
	"2000"	"2000"	"Pennsylvania"	"42"	5198	12281054	42.3
	"2000"	"2000"	"Rhode Island"	"44"	420	1048319	40.1
	"2000"	"2000"	"South Carolina"	"45"	1632	4012012	40.7
	"2000"	"2000"	"South Dakota"	"46"	234	754844	31.0
	"2000"	"2000"	"Tennessee"	"47"	2242	5689283	39.4
	"2000"	"2000"	"Texas"	"48"	7011	20851820	33.6
	"2000"	"2000"	"Utah"	"49"	659	2233169	29.5
	"2000"	"2000"	"Vermont"	"50"	216	608827	35.5
	"2000"	"2000"	"Virginia"	"51"	2255	7078515	31.9
	"2000"	"2000"	"Washington"	"53"	1783	5894121	30.3
	"2000"	"2000"	"West Virginia"	"54"	1029	1808344	56.9
	"2000"	"2000"	"Wisconsin"	"55"	1769	5363675	33.0
	"2000"	"2000"	"Wyoming"	"56"	146	493782	29.6
"Total"	"2000"	"2000"			94345	281421906	33.5
	"2001"	"2001"	"Alabama"	"01"	1784	4467634	39.9
	"2001"	"2001"	"Alaska"	"02"	102	633714	16.1
	"2001"	"2001"	"Arizona"	"04"	1356	5273477	25.7
	"2001"	"2001"	"Arkansas"	"05"	1022	2691571	38.0
	"2001"	"2001"	"California"	"06"	8110	34479458	23.5
	"2001"	"2001"	"Colorado"	"08"	980	4425687	22.1
	"2001"	"2001"	"Connecticut"	"09"	1059	3432835	30.8
	"2001"	"2001"	"Delaware"	"10"	330	795699	41.5
	"2001"	"2001"	"District of Columbia"	"11"	277	574504	48.2
	"2001"	"2001"	"Florida"	"12"	6196	16356966	37.9
	"2001"	"2001"	"Georgia"	"13"	2160	8377038	25.8
	"2001"	"2001"	"Hawaii"	"15"	252	1225948	20.6
	"2001"	"2001"	"Idaho"	"16"	430	1319962	32.6
	"2001"	"2001"	"Illinois"	"17"	4158	12488445	33.3
	"2001"	"2001"	"Indiana"	"18"	2302	6127760	37.6
	"2001"	"2001"	"Iowa"	"19"	991	2931997	33.8
	"2001"	"2001"	"Kansas"	"20"	996	2702162	36.9
	"2001"	"2001"	"Kentucky"	"21"	1509	4068132	37.1
	"2001"	"2001"	"Louisiana"	"22"	2218	4477875	49.5
	"2001"	"2001"	"Maine"	"23"	560	1285692	43.6
	"2001"	"2001"	"Maryland"	"24"	1985	5374691	36.9
	"2001"	"2001"	"Massachusetts"	"25"	2053	6397634	32.1
	"2001"	"2001"	"Michigan"	"26"	3649	9991120	36.5
	"2001"	"2001"	"Minnesota"	"27"	1618	4982796	32.5
	"2001"	"2001"	"Mississippi"	"28"	912	2852994	32.0
	"2001"	"2001"	"Missouri"	"29"	2209	5641142	39.2
	"2001"	"2001"	"Montana"	"30"	294	906961	32.4
	"2001"	"2001"	"Nebraska"	"31"	564	1719836	32.8
	"2001"	"2001"	"Nevada"	"32"	435	2098399	20.7
	"2001"	"2001"	"New Hampshire"	"33"	385	1255517	30.7
	"2001"	"2001"	"New Jersey"	"34"	3465	8492671	40.8
	"2001"	"2001"	"New Mexico"	"35"	701	1831690	38.3
	"2001"	"2001"	"New York"	"36"	5159	19082838	27.0
	"2001"	"2001"	"North Carolina"	"37"	3027	8210122	36.9
	"2001"	"2001"	"North Dakota"	"38"	294	639062	46.0
	"2001"	"2001"	"Ohio"	"39"	5250	11387404	46.1
	"2001"	"2001"	"Oklahoma"	"40"	1413	3467100	40.8
	"2001"	"2001"	"Oregon"	"41"	1332	3467937	38.4
	"2001"	"2001"	"Pennsylvania"	"42"	5180	12298970	42.1
	"2001"	"2001"	"Rhode Island"	"44"	387	1057142	36.6
	"2001"	"2001"	"South Carolina"	"45"	1521	4064995	37.4
	"2001"	"2001"	"South Dakota"	"46"	273	757972	36.0
	"2001"	"2001"	"Tennessee"	"47"	2456	5750789	42.7
	"2001"	"2001"	"Texas"	"48"	7295	21319622	34.2
	"2001"	"2001"	"Utah"	"49"	705	2283715	30.9
	"2001"	"2001"	"Vermont"	"50"	218	612223	35.6
	"2001"	"2001"	"Virginia"	"51"	2276	7198362	31.6
	"2001"	"2001"	"Washington"	"53"	1875	5985722	31.3
	"2001"	"2001"	"West Virginia"	"54"	1087	1801481	60.3
	"2001"	"2001"	"Wisconsin"	"55"	1844	5406835	34.1
	"2001"	"2001"	"Wyoming"	"56"	166	494657	33.6
"Total"	"2001"	"2001"			96820	284968955	34.0
	"2002"	"2002"	"Alabama"	"01"	1931	4480089	43.1
	"2002"	"2002"	"Alaska"	"02"	116	642337	18.1
	"2002"	"2002"	"Arizona"	"04"	1614	5396255	29.9
	"2002"	"2002"	"Arkansas"	"05"	1091	2705927	40.3
	"2002"	"2002"	"California"	"06"	8683	34871843	24.9
	"2002"	"2002"	"Colorado"	"08"	949	4490406	21.1
	"2002"	"2002"	"Connecticut"	"09"	1043	3458749	30.2
	"2002"	"2002"	"Delaware"	"10"	329	806169	40.8
	"2002"	"2002"	"District of Columbia"	"11"	252	573158	44.0
	"2002"	"2002"	"Florida"	"12"	6156	16689370	36.9
	"2002"	"2002"	"Georgia"	"13"	2302	8508256	27.1
	"2002"	"2002"	"Hawaii"	"15"	285	1239613	23.0
	"2002"	"2002"	"Idaho"	"16"	449	1340372	33.5
	"2002"	"2002"	"Illinois"	"17"	4117	12525556	32.9
	"2002"	"2002"	"Indiana"	"18"	2292	6155967	37.2
	"2002"	"2002"	"Iowa"	"19"	1014	2934234	34.6
	"2002"	"2002"	"Kansas"	"20"	1055	2713535	38.9
	"2002"	"2002"	"Kentucky"	"21"	1668	4089875	40.8
